"측정년","측정분기","측정지점","WQI","등급","DIN","DIP","Chl-a","저층산소포화도","투명도","pH","총대장균군","Cd","Pb","COD","DO","수온","전기전도도","염분"
"2020","2","남항","20","I","151.6","18.6","1.22","99.9","4.0","8.2","790","-","-","1.0","8.0","15.7","52","34.4"
"2020","2","5부두","28","II","130.8","98.7","1.51","93.0","3.5","8.2","350","-","-","1.1","7.3","16.0","51","33.6"
"2020","2","감천항","25","II","222.3","31.7","2.85","94.1","2.5","8.1","23","-","-","1.6","8.8","15.2","52","34.4"
"2020","2","남외항","24","II","94.4","42.1","1.69","95.4","2.7","8.2","20","-","-","0.8","8.1","14.7","52","34.5"
"2020","2","남천만","20","I","81.7","17.6","1.33","93.4","3.8","8.0","78","-","-","0.8","7.7","14.6","52","34.4"
"2020","2","민락동","20","I","63.2","30.6","1.16","93.3","2.8","8.1","200","-","-","0.9","7.7","14.6","53","34.7"
"2020","2","북내항","23","I","166.4","20.9","5.77","98.8","2.5","8.1","490","-","-","1.1","8.4","15.6","52","34.2"
"2020","2","북외항","20","I","184.0","33.5","6.17","93.9","3.0","8.0","540","-","-","1.0","8.4","14.6","52","34.1"
"2020","2","수영만","36","III","1,585.6","114.1","0.38","95.7","2.8","8.1","5,400","-","-","2.5","6.2","14.7","43","27.5"
"2020","2","이기대","28","II","465.8","22.0","1.19","90.4","3.8","8.1","330","-","-","0.8","7.7","14.4","52","33.9"
"2020","2","해운대","30","II","63.7","31.2","1.77","89.5","2.6","8.1","40","-","-","1.3","7.8","14.3","53","34.6"
"2020","2","다대포항","45","III","185.3","44.4","4.33","87.5","1.5","8.0","130","-","-","1.5","8.5","14.8","52","34.3"
"2020","2","동천하류","48","IV","5,087.1","179.1","1.32","90.5","0.5","7.6","70,000","-","-","10.8","6.8","15.6","48","31.2"
"2020","2","발전소앞","53","IV","280.8","94.5","3.73","89.6","1.5","8.2","2,400","-","-","1.2","8.3","15.9","52","34.3"
"2020","2","부산대교","36","III","444.0","70.9","2.06","94.4","3.5","8.2","35,000","-","-","1.3","7.9","14.6","52","34.0"
"2020","2","자갈치시장","20","I","96.7","13.3","1.10","90.4","3.3","8.2","700","-","-","1.0","7.6","15.6","52","34.3"
"2020","2","다대포어시장","20","II","112.3","29.1","4.09","97.9","1.3","7.9","2,400","-","-","2.0","8.0","16.6","52","34.1"
"2020","2","송도해수욕장","20","I","113.3","23.9","1.71","98.7","3.5","8.2","140","-","-","0.9","8.1","15.0","52","34.4"
"2020","2","광안리해수욕장","20","I","34.0","19.9","1.97","97.4","2.6","7.8","0","-","-","0.9","7.9","15.0","52","34.2"
"2020","2","해운대해수욕장","26","II","98.4","12.1","1.22","92.7","2.1","8.1","20","-","-","0.9","7.9","14.5","52","34.5"
"2020","1","신호","37","III","692.3","21.3","0.77","91.6","1.3","8.1","78","-","-","2.2","9.2","9.7","40","26.0"
"2020","1","일광","26","II","99.0","18.2","0.38","94.9","2.0","8.1","2","-","-","0.8","8.1","13.7","51","33.3"
"2020","1","장림","56","IV","1,536.1","26.4","12.04","89.2","2.0","7.9","3,300","-","-","3.4","10.1","8.9","28","17.2"
"2020","1","5부두","20","I","167.6","15.8","0.24","91.1","2.5","8.1","230","-","-","0.6","7.7","12.2","50","33.0"
"2020","1","감천항","20","I","111.5","31.4","3.31","105.5","5.0","8.0","13","-","-","0.9","8.9","13.1","51","33.3"
"2020","1","남외항","26","II","94.8","13.4","0.00","93.5","2.0","8.1","2","-","-","0.4","7.8","13.2","51","33.4"
"2020","1","남천만","20","I","39.8","16.1","0.16","94.7","2.5","7.8","230","-","-","0.9","8.0","13.5","51","33.3"
"2020","1","민락동","37","III","566.4","51.3","0.03","92.0","2.3","8.0","20","-","-","1.1","7.4","13.2","49","32.3"
"2020","1","북내항","30","II","167.9","27.6","0.00","89.6","2.5","8.1","20","-","-","0.8","7.8","12.0","51","33.1"
"2020","1","북외항","26","II","134.2","20.8","0.42","93.1","2.0","8.1","5","-","-","0.7","8.1","12.4","51","33.3"
"2020","1","수영만","36","III","933.2","74.5","0.05","94.1","2.3","8.0","1,100","-","-","1.3","7.0","12.6","45","29.4"
"2020","1","신외항","29","II","150.5","19.3","0.00","93.4","1.8","8.1","2","-","-","1.4","8.4","11.0","50","32.5"
"2020","1","이기대","22","I","237.9","23.9","0.00","96.4","3.0","7.9","130","-","-","1.1","8.1","14.0","50","32.9"
"2020","1","해운대","20","I","184.7","21.8","0.34","96.7","2.5","8.0","170","-","-","0.9","8.0","13.7","51","33.1"
"2020","1","가덕대교","33","II","261.2","20.5","0.00","94.7","1.6","8.1","8","-","-","2.0","9.3","10.7","48","31.6"
"2020","1","다대포항","30","II","132.2","24.5","0.46","88.9","4.0","8.0","40","-","-","0.9","8.0","11.7","51","33.3"
"2020","1","동천하류","32","II","190.1","36.3","0.00","82.4","2.5","8.0","270","-","-","1.4","6.5","12.3","50","33.1"
"2020","1","발전소앞","20","I","128.6","25.4","4.77","103.6","4.5","8.1","780","-","-","1.4","8.8","13.0","51","33.2"
"2020","1","부산대교","30","II","159.1","29.1","0.19","88.4","4.0","8.1","110","-","-","1.2","7.6","12.7","51","33.3"
"2020","1","자갈치시장","30","II","54.6","17.5","0.00","88.0","4.0","8.1","690","-","-","0.5","7.6","12.8","51","33.3"
"2020","1","다대포어시장","62","V","252.0","83.9","0.09","64.3","2.5","7.9","78","-","-","1.3","5.6","10.4","51","33.1"
"2020","1","송도해수욕장","20","I","106.7","10.5","0.41","94.7","4.5","8.1","45","-","-","0.4","8.0","13.2","51","33.4"
"2020","1","광안리해수욕장","29","II","219.7","15.7","0.19","94.8","1.5","7.5","330","-","-","1.7","8.1","13.2","51","33.6"
"2020","1","다대포해수욕장","40","III","1,261.2","21.5","9.89","91.0","2.5","8.2","790","-","-","3.1","9.3","9.6","36","22.4"
"2020","1","해운대해수욕장","23","I","132.5","14.4","0.34","96.8","2.3","8.0","330","-","-","0.9","8.1","13.8","51","33.4"
"2020","1","고리","20","I","94.0","6.8","0.57","96.9","2.5","7.7","23","-","-","1.3","8.2","14.1","51","33.4"
"2020","1","남항","20","I","109.1","18.2","0.00","92.2","4.1","8.1","4,900","-","-","0.8","7.9","13.0","51","33.3"
"2020","1","녹산","37","III","381.8","26.7","0.35","99.9","1.3","8.1","110","-","-","1.4","9.2","10.5","47","30.4"
"2020","1","대변","26","II","111.4","10.5","0.09","94.5","2.0","8.1","2","-","-","0.9","8.1","13.5","51","33.3"
"2020","1","신항","29","II","84.6","20.2","0.09","93.4","1.3","8.0","17","-","-","2.5","8.5","10.7","49","32.3"
"2019","4","남항","39","III","270.9","45.0","3.81","99.1","1.7","8.1","3,500","-","-","1.8","7.3","19.4","49","31.7"
"2019","4","5부두","40","III","200.1","30.3","3.38","75.8","2.8","8.1","790","-","-","0.9","7.5","18.9","49","31.9"
"2019","4","감천항","20","I","131.2","28.2","1.71","98.3","5.0","8.1","13","-","-","1.0","7.7","19.2","49","31.9"
"2019","4","남외항","20","I","30.9","9.9","2.05","108.8","4.0","8.2","2","-","-","1.2","8.3","20.3","49","32.1"
"2019","4","남천만","20","I","204.1","26.1","3.58","105.8","6.6","8.2","79","-","-","1.4","8.3","19.0","49","31.9"
"2019","4","민락동","36","III","1,182.7","64.0","0.98","103.8","4.3","8.1","1,700","-","-","1.3","8.1","19.3","48","31.2"
"2019","4","북내항","30","II","164.0","21.5","3.93","82.5","3.5","8.1","1,300","-","-","0.5","7.9","18.9","49","31.9"
"2019","4","북외항","20","I","114.7","28.5","2.98","90.3","3.5","8.1","310","-","-","1.0","7.9","19.0","49","32.0"
"2019","4","수영만","36","III","2,068.8","90.4","1.54","100.9","4.3","8.1","9,200","-","-","1.5","7.4","18.5","44","29.7"
"2019","4","이기대","22","I","241.8","17.7","1.72","105.7","5.8","8.2","490","-","-","0.9","8.1","19.7","48","31.5"
"2019","4","해운대","24","II","249.3","33.9","1.48","103.3","5.8","8.2","170","-","-","1.3","8.3","19.6","49","32.0"
"2019","4","다대포항","28","II","167.5","73.0","1.88","90.6","3.0","8.0","230","-","-","1.2","7.3","18.9","49","31.7"
"2019","4","동천하류","62","V","613.5","63.0","2.22","73.7","2.0","8.0","54,000","-","-","1.4","6.3","18.9","49","32.0"
"2019","4","발전소앞","45","III","148.7","48.1","1.62","84.1","1.5","7.9","490","-","-","1.2","6.5","19.3","49","32.2"
"2019","4","부산대교","28","II","149.5","52.6","2.36","97.7","3.5","8.1","790","-","-","1.0","7.7","19.4","49","31.9"
"2019","4","자갈치시장","22","I","50.8","37.4","1.37","110.7","4.0","8.2","220","-","-","1.2","8.4","19.7","49","31.9"
"2019","4","다대포어시장","53","IV","286.5","103.7","1.49","81.6","1.3","8.0","330","-","-","1.5","6.3","18.7","48","31.6"
"2019","4","송도해수욕장","20","I","35.2","15.7","4.01","108.9","5.0","8.2","0","-","-","0.8","8.8","19.9","49","32.0"
"2019","4","광안리해수욕장","20","I","164.5","17.5","1.39","112.7","4.0","8.1","22","-","-","0.7","8.3","19.4","50","32.4"
"2019","4","해운대해수욕장","26","II","49.6","44.3","1.01","106.2","6.3","8.2","2","-","-","0.4","8.0","20.1","49","32.2"
"2019","3","고리","20","I","8.2","3.8","1.56","103.2","3.0","8.4","0","-","1.12","1.2","7.3","26.1","50","32.6"
"2019","3","남항","30","II","61.8","6.6","1.87","84.6","2.5","8.2","330","-","1.82","0.4","6.2","23.6","50","32.8"
"2019","3","녹산","38","III","81.4","10.8","7.74","91.3","0.9","8.1","0","-","2.52","1.7","6.4","28.5","47","30.9"
"2019","3","대변","30","II","0.0","3.2","0.97","81.9","2.8","8.4","4","-","0.75","1.8","6.9","26.2","51","33.1"
"2019","3","신항","58","IV","81.2","10.9","8.68","71.3","1.3","8.2","130","-","1.94","1.9","6.1","25.9","51","33.1"
"2019","3","신호","49","IV","522.2","21.5","8.60","90.4","1.2","8.1","20","-","0.73","3.5","6.5","27.5","37","23.2"
"2019","3","일광","20","I","24.4","6.7","0.61","91.3","3.0","8.4","0","-","1.05","1.6","7.0","26.6","51","33.2"
"2019","3","장림","31","II","924.9","16.5","6.55","100.9","3.1","7.8","22,000","-","0.00","3.9","6.7","28.2","48","31.6"
"2019","3","5부두","46","III","186.2","17.9","1.82","68.5","2.0","8.1","20","-","0.44","0.4","4.9","23.9","50","32.7"
"2019","3","감천항","40","III","60.3","8.8","3.15","68.8","3.5","8.1","49","-","0.18","0.4","6.1","25.6","50","32.8"
"2019","3","남외항","20","I","30.1","5.1","1.68","91.2","4.5","8.2","5","-","1.00","0.5","6.5","23.9","50","32.8"
"2019","3","남천만","26","II","88.9","11.1","5.09","96.4","2.0","8.3","130","-","1.56","2.9","7.7","25.5","50","32.9"
"2019","3","민락동","51","IV","959.5","43.0","1.79","89.3","1.5","8.2","40","-","2.48","3.4","6.1","25.9","46","29.6"
"2019","3","북내항","40","III","75.0","9.3","5.10","75.1","2.5","8.1","490","-","0.87","0.7","6.1","22.7","51","33.1"
"2019","3","북외항","40","III","98.7","10.5","2.21","75.4","2.5","8.1","49","-","0.42","0.6","5.8","23.6","51","33.1"
"2019","3","수영만","55","IV","1,274.8","58.5","1.57","84.3","1.5","8.2","170","-","1.42","3.5","5.5","25.4","45","29.4"
"2019","3","신외항","55","IV","30.9","10.8","7.36","69.0","1.8","8.3","22","-","0.26","1.4","7.8","26.6","50","32.5"
"2019","3","이기대","28","II","240.0","10.1","2.44","100.6","2.0","8.3","78","-","0.82","0.2","7.0","25.4","49","32.2"
"2019","3","해운대","44","III","383.8","30.3","1.09","88.4","2.0","8.3","340","-","5.71","3.4","6.7","25.8","50","32.8"
"2019","3","가덕대교","52","IV","137.7","25.7","3.86","77.0","1.2","8.1","78","-","0.32","1.1","5.3","26.1","48","31.4"
"2019","3","다대포항","40","III","144.1","17.1","1.65","68.7","3.5","8.0","45","-","0.60","0.4","4.8","24.4","50","32.8"
"2019","3","동천하류","72","V","1,618.0","35.5","6.09","56.0","0.5","7.8","16,000","-","1.71","2.3","0.4","24.4","47","30.8"
"2019","3","발전소앞","40","III","126.2","11.2","3.33","70.5","2.5","8.1","78","-","0.64","1.0","5.8","25.1","50","32.8"
"2019","3","부산대교","52","IV","130.5","10.0","1.03","77.2","1.0","8.1","490","-","5.42","0.4","5.4","23.3","51","33.1"
"2019","3","자갈치시장","46","III","96.9","20.6","1.45","79.9","2.0","8.2","2,400","-","1.28","0.6","5.7","23.5","50","32.7"
"2019","3","다대포어시장","58","IV","238.5","18.6","3.07","52.2","2.0","8.0","130","-","0.99","1.3","4.6","24.5","50","32.8"
"2019","3","송도해수욕장","20","I","26.6","8.9","2.36","97.1","3.5","8.2","68","-","0.00","0.7","6.8","24.4","49","32.3"
"2019","3","광안리해수욕장","29","II","133.3","7.6","4.26","97.6","1.5","8.2","2","-","2.34","2.8","7.6","25.5","51","33.0"
"2019","3","다대포해수욕장","28","II","704.9","15.5","4.26","103.5","4.3","8.1","790","-","0.43","2.4","7.0","26.6","50","32.9"
"2019","3","해운대해수욕장","26","II","24.4","4.0","1.35","93.5","2.0","8.3","20","-","4.87","2.3","6.9","25.2","50","32.9"
"2019","2","5부두","40","III","178.1","33.8","0.34","78.6","4.0","8.2","230","-","-","1.1","6.2","17.3","52","34.1"
"2019","2","감천항","30","II","45.0","28.1","0.42","88.4","5.0","8.3","23","-","-","1.1","7.5","19.0","52","34.4"
"2019","2","남외항","30","II","40.4","18.0","0.45","86.8","5.0","8.4","5","-","-","0.6","7.6","17.0","53","34.7"
"2019","2","남천만","34","III","261.8","31.8","1.93","87.4","5.8","8.2","45","-","-","0.9","7.1","17.1","52","34.5"
"2019","2","민락동","42","III","517.1","40.7","0.50","88.2","5.0","8.2","130","-","-","1.2","7.2","17.8","50","32.9"
"2019","2","북내항","40","III","109.4","24.1","0.32","80.7","4.0","8.3","0","-","-","0.9","7.3","17.4","52","34.5"
"2019","2","북외항","20","I","89.1","17.6","0.37","90.1","4.0","8.3","22","-","-","1.2","7.3","16.9","53","35.0"
"2019","2","수영만","36","III","2,999.3","164.0","6.10","90.5","5.2","8.2","1,700","-","-","3.5","7.3","16.8","51","32.9"
"2019","2","이기대","40","III","322.6","38.6","0.59","85.9","5.1","8.2","45","-","-","1.1","7.1","16.6","52","34.0"
"2019","2","해운대","30","II","179.1","33.8","0.15","86.2","5.2","8.3","130","-","-","0.9","6.9","16.4","52","34.5"
"2019","2","다대포항","40","III","97.5","19.6","1.76","80.7","3.5","8.3","230","-","-","1.0","7.2","17.8","53","34.6"
"2019","2","동천하류","56","IV","861.7","77.9","0.48","72.7","3.5","8.1","7,000","-","-","1.6","5.7","18.6","51","33.4"
"2019","2","발전소앞","30","II","96.2","24.3","0.34","86.4","3.0","8.2","78","-","-","0.8","7.1","18.2","52","34.3"
"2019","2","부산대교","30","II","110.7","23.1","0.42","89.5","5.0","8.3","78","-","-","0.8","6.9","17.0","52","34.5"
"2019","2","자갈치시장","20","I","54.8","20.0","0.44","96.1","5.0","8.3","45","-","-","0.7","7.6","16.6","54","35.1"
"2019","2","다대포어시장","30","II","174.5","33.0","0.69","86.5","2.5","8.2","130","-","-","1.2","6.8","17.7","53","34.9"
"2019","2","송도해수욕장","30","II","40.6","10.3","0.46","87.8","4.0","8.3","2","-","-","0.8","7.6","17.5","53","34.9"
"2019","2","광안리해수욕장","36","III","515.1","54.5","1.43","90.7","5.1","8.2","20","-","-","0.9","7.5","17.5","53","34.7"
"2019","2","해운대해수욕장","30","II","72.4","23.5","0.61","87.2","5.1","8.3","45","-","-","0.8","7.1","15.9","53","34.8"
"2019","2","남항","20","I","69.2","21.5","0.39","93.3","3.5","8.3","110","-","-","0.8","7.3","16.7","53","34.6"
"2019","1","고리","20","I","59.3","18.2","0.87","98.0","5.0","8.1","23","-","-","0.7","8.2","14.5","53","34.4"
"2019","1","남항","20","I","123.1","19.5","1.83","99.0","4.0","8.2","4,900","-","-","0.7","8.6","12.2","53","35.1"
"2019","1","녹산","34","III","537.1","31.9","0.73","101.3","2.0","8.1","110","-","-","1.9","9.3","10.8","47","30.7"
"2019","1","대변","20","I","52.7","15.7","0.92","97.4","5.0","8.2","2","-","-","0.7","8.1","15.0","52","34.3"
"2019","1","신항","20","I","144.7","15.7","1.56","103.7","3.0","8.1","17","-","-","1.4","9.5","10.0","52","33.9"
"2019","1","신호","28","II","1,877.3","22.6","2.58","96.1","2.5","8.1","78","-","-","4.5","9.2","9.6","40","25.8"
"2019","1","일광","20","I","157.7","9.7","0.69","96.8","5.5","8.1","2","-","-","0.6","8.0","15.1","52","34.4"
"2019","1","장림","32","II","1,071.6","42.5","2.92","96.3","3.5","8.1","3,300","-","-","2.0","9.4","8.6","42","26.6"
"2019","1","5부두","20","I","107.0","13.4","3.75","106.6","4.0","8.3","230","-","-","0.7","9.7","10.3","53","34.9"
"2019","1","감천항","20","I","43.4","26.1","2.66","104.2","4.0","8.2","13","-","-","0.6","8.9","12.2","53","35.2"
"2019","1","남외항","20","I","73.6","14.0","1.85","98.3","4.0","8.2","2","-","-","0.2","8.5","12.6","53","35.2"
"2019","1","남천만","20","I","102.8","16.9","2.07","95.7","6.5","8.1","230","-","-","1.0","8.3","12.6","52","34.1"
"2019","1","민락동","20","I","106.5","18.1","0.91","99.3","6.0","8.2","20","-","-","0.9","8.6","12.4","52","34.2"
